id,contentTypeId,collectionId,slug,titleEn,titleAr,excerptEn,excerptAr,descriptionEn,descriptionAr,attributes,blocks,displaySettings,metadata,status,isFeatured,isVisible,sortOrder,publishedAt,archivedAt,deletedAt,featuredImageUrl,createdAt,updatedAt
cmq0tdtaf0047hf64u70d4w17,cmpv9625p0001hf2w01fa4hzm,,family-holiday-dubai,Family Holiday — Dubai,عطلة عائلية — دبي,5-day family adventure with theme parks and desert safari.,مغامرة عائلية 5 أيام مع مدن الملاهي وسفاري الصحراء.,"Includes flights, 4-star hotel, theme park tickets, and guided desert safari.",يشمل الطيران وفندق 4 نجوم وتذاكر مدن الملاهي وسفاري صحراوي مرشد.,"{""price"":2499,""currency"":""USD"",""duration"":5,""features"":[""Theme parks"",""Desert safari"",""City tour""]}","[]","{}","{}",PUBLISHED,1,1,0,2026-06-05T11:01:44.184Z,,,,2026-06-05T11:01:44.200Z,2026-06-05T11:01:44.200Z
cmq0tdtai004ahf64expklimi,cmpv9625p0001hf2w01fa4hzm,,honeymoon-maldives,Honeymoon — Maldives,شهر العسل — المالديف,7 nights in an overwater villa with all-inclusive dining.,7 ليالٍ في فيلا فوق الماء مع إقامة شاملة.,"Romantic getaway with spa treatments, sunset cruise, and private dining.",عطلة رومانسية مع علاجات سبا ورحلة غروب وعشاء خاص.,"{""price"":4999,""currency"":""USD"",""duration"":7,""features"":[""Overwater villa"",""All-inclusive"",""Spa""]}","[]","{}","{}",PUBLISHED,1,1,1,2026-06-05T11:01:44.187Z,,,,2026-06-05T11:01:44.202Z,2026-06-05T11:01:44.202Z
cmq0tdtak004dhf64nxpiprn9,cmpv9625p0001hf2w01fa4hzm,,umrah-package,Umrah Package,باقة العمرة,10-day spiritual journey with premium hotels in Makkah and Madinah.,رحلة روحانية 10 أيام مع فنادق مميزة في مكة والمدينة.,"Complete Umrah package with visa, flights, hotels, transport, and guided ziyarat.",باقة عمرة كاملة مع تأشيرة وطيران وفنادق ونقل وزيارات مرشدة.,"{""price"":1899,""currency"":""USD"",""duration"":10,""features"":[""Visa"",""5-star hotels"",""Guided ziyarat""]}","[]","{}","{}",PUBLISHED,1,1,2,2026-06-05T11:01:44.189Z,,,,2026-06-05T11:01:44.204Z,2026-06-05T11:01:44.204Z
cmq0tdtam004ghf64a5l1fspj,cmpv9625p0001hf2w01fa4hzm,,turkey-adventure,Turkey Adventure Tour,جولة مغامرات تركيا,"8-day adventure through Istanbul, Cappadocia, and Pamukkale.",مغامرة 8 أيام عبر إسطنبول وكابادوكيا وباموكالي.,"Hot air balloon, historical sites, and authentic Turkish cuisine experiences.",منطاد هوائي ومواقع تاريخية وتجارب مطبخ تركي أصيل.,"{""price"":1599,""currency"":""USD"",""duration"":8,""features"":[""Hot air balloon"",""Historical sites"",""Local cuisine""]}","[]","{}","{}",PUBLISHED,0,1,3,2026-06-05T11:01:44.191Z,,,,2026-06-05T11:01:44.206Z,2026-06-05T11:01:44.206Z
cmq0tdtao004jhf6486ywwgjr,cmpv9625p0001hf2w01fa4hzm,,europe-cultural,European Cultural Experience,تجربة ثقافية أوروبية,"12-day tour through Paris, Rome, and Barcelona.",جولة 12 يوماً عبر باريس وروما وبرشلونة.,"Museums, architecture, local guides, and authentic cultural immersion.",متاحف وعمارة ومرشدون محليون وانغماس ثقافي أصيل.,"{""price"":3299,""currency"":""USD"",""duration"":12,""features"":[""Museums"",""Local guides"",""Cultural immersion""]}","[]","{}","{}",PUBLISHED,0,1,4,2026-06-05T11:01:44.193Z,,,,2026-06-05T11:01:44.208Z,2026-06-05T11:01:44.208Z
cmq0tdtap004mhf649zxmxnuv,cmpv9625p0001hf2w01fa4hzm,,luxury-dubai,Luxury Dubai Escape,عطلة دبي الفاخرة,5 nights at a 5-star resort with yacht experience.,5 ليالٍ في منتجع 5 نجوم مع تجربة يخت.,"Premium accommodation, private transfers, and exclusive experiences.",إقامة فاخرة ونقل خاص وتجارب حصرية.,"{""price"":3999,""currency"":""USD"",""duration"":5,""features"":[""5-star resort"",""Yacht"",""Private transfers""]}","[]","{}","{}",PUBLISHED,0,1,5,2026-06-05T11:01:44.194Z,,,,2026-06-05T11:01:44.210Z,2026-06-05T11:01:44.210Z
cmq0tdtaq004phf64k4lktum0,cmpv9625p0001hf2w01fa4hzm,,seasonal-winter-europe,Winter Europe Holiday,عطلة أوروبا الشتوية,7-day winter wonderland tour with Christmas markets.,جولة شتوية 7 أيام مع أسواق عيد الميلاد.,"Festive markets, alpine scenery, and cozy accommodations.",أسواق احتفالية ومناظر جبلية وإقامة مريحة.,"{""price"":2199,""currency"":""USD"",""duration"":7,""features"":[""Christmas markets"",""Alpine scenery"",""Festive tours""]}","[]","{}","{}",PUBLISHED,0,1,6,2026-06-05T11:01:44.196Z,,,,2026-06-05T11:01:44.211Z,2026-06-05T11:01:44.211Z
cmq0tdtas004shf649d1nqu2m,cmpv9625p0001hf2w01fa4hzm,,group-corporate-retreat,Corporate Group Retreat,خلوة جماعية للشركات,Customizable team-building travel for corporate groups.,سفر بناء فريق قابل للتخصيص للمجموعات.,Tailored itineraries with meeting facilities and team activities.,برامج مخصصة مع مرافق اجتماعات وأنشطة جماعية.,"{""price"":1299,""currency"":""USD"",""duration"":4,""features"":[""Team building"",""Meeting facilities"",""Custom itinerary""]}","[]","{}","{}",PUBLISHED,0,1,7,2026-06-05T11:01:44.197Z,,,,2026-06-05T11:01:44.212Z,2026-06-05T11:01:44.212Z
cmq0tdtat004vhf647uamzxx9,cmpv9625t0002hf2wcgzesujw,,makkah-hotel-5star,Makkah Premium Hotel,فندق مكة المميز,5-star hotel steps from the Haram.,فندق 5 نجوم على خطوات من الحرم.,"Luxury accommodation with Haram views, premium dining, and concierge service.",إقامة فاخرة بإطلالة على الحرم ومطاعم مميزة وخدمة كونسيرج.,"{""city"":""MAKKAH"",""stars"":5,""distance"":""200m from Haram"",""amenities"":[""Haram view"",""Premium dining"",""Concierge""]}","[]","{}","{}",PUBLISHED,0,1,8,2026-06-05T11:01:44.198Z,,,,2026-06-05T11:01:44.214Z,2026-06-05T11:01:44.214Z
cmq0tdtav004yhf649vvzdhm9,cmpv9625t0002hf2wcgzesujw,,madinah-hotel-4star,Madinah Comfort Hotel,فندق المدينة المريح,4-star hotel near Masjid Nabawi.,فندق 4 نجوم قرب المسجد النبوي.,"Comfortable rooms with Nabawi proximity, shuttle service, and halal dining.",غرف مريحة قرب النبوي مع خدمة نقل ومأكولات حلال.,"{""city"":""MADINAH"",""stars"":4,""distance"":""500m from Nabawi"",""amenities"":[""Shuttle"",""Halal dining"",""Prayer facilities""]}","[]","{}","{}",PUBLISHED,0,1,9,2026-06-05T11:01:44.200Z,,,,2026-06-05T11:01:44.215Z,2026-06-05T11:01:44.215Z
