id,filename,url,mimeType,mediaType,sizeBytes,width,height,altEn,altAr,folderId,uploadedById,createdAt,updatedAt
cmq0tdrug0002hf64va1ow9yp,hero.svg,/demo/brt/hero.svg,image/svg+xml,SVG,0,,,BRT TRADING LLC technology solutions,حلول BRT TRADING LLC التقنية,,,2026-06-05T11:01:42.328Z,2026-06-05T11:01:42.328Z
cmq0tdruj0003hf64noofloax,project-1.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Enterprise wireless deployment,نشر شبكة لاسلكية للمؤسسات,,,2026-06-05T11:01:42.332Z,2026-06-05T11:01:42.332Z
cmq0tdrul0004hf64uy6r4g79,project-2.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Smart home automation,أتمتة المنزل الذكي,,,2026-06-05T11:01:42.333Z,2026-06-05T11:01:42.333Z
cmq0tdrum0005hf64vsdbr5q0,project-3.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Security surveillance system,نظام مراقبة أمنية,,,2026-06-05T11:01:42.334Z,2026-06-05T11:01:42.334Z
cmq0tdrun0006hf64h0stiwnr,project-4.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,IoT sensor network,شبكة مستشعرات إنترنت الأشياء,,,2026-06-05T11:01:42.335Z,2026-06-05T11:01:42.335Z
cmq0tdruo0007hf64ajl538fz,project-5.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Indoor coverage solution,حل تغطية داخلية,,,2026-06-05T11:01:42.336Z,2026-06-05T11:01:42.336Z
cmq0tdrup0008hf6419b9wjpx,project-6.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,IP PBX installation,تركيب IP PBX,,,2026-06-05T11:01:42.338Z,2026-06-05T11:01:42.338Z
cmq0tdrur0009hf64t9fgor72,project-7.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Network infrastructure,بنية شبكة تحتية,,,2026-06-05T11:01:42.340Z,2026-06-05T11:01:42.340Z
cmq0tdrut000ahf64xw43732z,project-8.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Smart lock integration,تكامل الأقفال الذكية,,,2026-06-05T11:01:42.341Z,2026-06-05T11:01:42.341Z
cmq0tdruu000bhf64siacyyxg,project-9.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,CCTV analytics,تحليلات كاميرات المراقبة,,,2026-06-05T11:01:42.343Z,2026-06-05T11:01:42.343Z
cmq0tdruv000chf64lz2g1p36,project-10.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Building automation,أتمتة المباني,,,2026-06-05T11:01:42.344Z,2026-06-05T11:01:42.344Z
cmq0tdruw000dhf64a20c0ijp,project-11.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Voice assistant setup,إعداد المساعد الصوتي,,,2026-06-05T11:01:42.345Z,2026-06-05T11:01:42.345Z
cmq0tdrux000ehf64744jlrnl,project-12.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Energy management,إدارة الطاقة,,,2026-06-05T11:01:42.346Z,2026-06-05T11:01:42.346Z
cmq0tdruz000fhf64iuz3dr62,service-wireless.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Enterprise wireless,شبكة لاسلكية للمؤسسات,,,2026-06-05T11:01:42.348Z,2026-06-05T11:01:42.348Z
cmq0tdrv1000ghf64ngat3h9r,service-security.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Security solutions,حلول الأمن,,,2026-06-05T11:01:42.349Z,2026-06-05T11:01:42.349Z
cmq0tdrv2000hhf64yp3u46zc,service-smarthome.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Smart home,المنزل الذكي,,,2026-06-05T11:01:42.350Z,2026-06-05T11:01:42.350Z
